"Date"	"Open"
1063	304.02
1064	299.52
1065	308.73
1066	309
1067	301.75
1068	297.28
1069	294.83
1070	285.89
1071	289
1072	286.51
1073	285.91
1074	288.23
1075	287.39
1076	282.24
1077	283.48
1078	282.55
1079	277.57
1080	276.16
1081	281.24
1082	280.99
1083	275.91
1084	285.51
1085	284.88
1086	289.8
1087	283.36
1088	285.89
1089	291.3
1090	291.96
1091	293.6
1092	297.5
1093	295.55
1094	298
1095	291.6
1096	288.12
1097	292.14
1098	297.41
1099	297.74
1100	295.01
1101	302.39
1102	306.37
1103	314.05
1104	305.57
1105	302.1
1106	300
1107	301.24
1108	305.34
1109	292.51
1110	293.39
1111	296.4
1112	296.25
1113	289.39
1114	297.3
1115	292.1
1116	295.04
1117	294.34
1118	302.5
1119	306.28
1120	298.9
1121	290.9
1122	288
1123	289.67
1124	288.07
1125	276.09
1126	279
1127	274.26
1128	275
1129	278.59
1130	279.82
1131	286.99
1132	284.72
1133	292.85
1134	297.1
1135	282.39
1136	286.79
1137	288.73
1138	283.2
1139	269.43
1140	260.46
1141	260.96
1142	252.73
1143	256.96
1144	243.16
1145	241.21
1146	240.34
1147	233.61
1148	230.56
1149	229.68
1150	229.18
1151	230.81
1152	228.97
1153	225.47
1154	228
1155	228.4
1156	228.62
1157	227.23
1158	221.85
1159	222.05
1160	221.91
1161	219.5
1162	217.99
1163	220.22
1164	217.82
1165	222.9
1166	200.42
1167	198.58
1168	189.33
1169	184.58
1170	190.1
1171	193.27
1172	193.47
1173	193
1174	193.09
1175	193.69
1176	188.78
1177	189.24
1178	187.73
1179	179.95
1180	181.76
1181	177.95
1182	180.64
1183	181.05
1184	181.68
1185	180.7
1186	177.97
1187	181.18
1188	179.27
1189	178.81
1190	177.13
1191	176.7
1192	175.3
1193	178.33
1194	180.44
1195	181.01
1196	184.21
1197	189.1
1198	187.78
1199	186.7
1200	186.13
1201	185.95
1202	189.29
1203	186
1204	189.15
1205	183.37
1206	193.3
1207	196.5
1208	198.51
1209	197.83
1210	194.7
1211	193.6
1212	182.85
1213	186.66
1214	191.97
1215	200.76
1216	196.96
1217	205.26
1218	206.47
1219	205.99
